timestep,rank(K),"rank(K,tol=1e-10)",sigma_min(K),sigma_max(K),cond(K),log|det K|,rank(A),sigma_min(A),rank(D),rank(S),sigma_min(S),vmin_base,vmin_joint,vmin_motor
16,30,30,0.008035990219672526,15.213505559394298,1893.171238828892,-28.925687975791547,18,0.014118684971251195,12,18,0.0147044206683788,0.17195475669257362,0.517555562102657,0.8381931768914618
17,30,30,0.008033849028510075,15.213486439363512,1893.6734291837872,-28.934036393624975,18,0.014115577787854001,12,18,0.014701403454161066,0.17180567944503933,0.5175692295561812,0.8382153071419359
18,30,30,0.00803170290727885,15.213467303055971,1894.1770479668194,-28.942407227845276,18,0.014112461144252478,12,18,0.014698377164960615,0.17165699963800496,0.5175828484176931,0.8382373586873267
19,30,30,0.008029547275933387,15.213448160598087,1894.6831792368537,-28.950798594459002,18,0.014109325758601033,12,18,0.014695332438915725,0.17150902004365162,0.517596391097422,0.838259286835876
20,30,30,0.008027383639002671,15.213429022208837,1895.1914728843042,-28.959206382547258,18,0.014106173937645518,12,18,0.014692271523416015,0.17136175401326623,0.517609856545637,0.8382810898906778
21,30,30,0.008025214337400612,15.213409897928157,1895.7013804637922,-28.967626569286082,18,0.014103010060034867,12,18,0.014689198789631066,0.171215123109976,0.5176232520956889,0.8383027797331458
22,30,30,0.008023041871397631,15.213390796873295,1896.2123145722894,-28.976055284242697,18,0.014099837391238445,12,18,0.014686117375044919,0.17106940748284147,0.5176365523440691,0.8383243152269981
23,30,30,0.008020861473167242,15.213371728156485,1896.7254052511514,-28.984490652208493,18,0.01409664925131675,12,18,0.01468302073694329,0.17092404889545007,0.5176498083945493,0.8383457791259357
24,30,30,0.00801863973209069,15.21335247548259,1897.2485338876838,-28.993082836259248,18,0.01409339925279054,12,18,0.014679864109756613,0.17077621205119548,0.51766327855011,0.838367589687362
25,30,30,0.00801638366107855,15.213333117561923,1897.7800665188065,-29.0017873724261,18,0.014090096284780643,12,18,0.014676655953479676,0.17062662119455715,0.5176768963110886,0.8383896392283525
26,30,30,0.008014099380415772,15.213313679369392,1898.3185704617658,-29.010587794767467,18,0.014086749029049451,12,18,0.014673404725827597,0.1704757724187121,0.517690616147912,0.8384118540255964
27,30,30,0.008011785230934345,15.213294175297861,1898.864452401661,-29.019480964591494,18,0.014083354740910155,12,18,0.014670107691763318,0.17032357405454127,0.5177044460751152,0.8384342470553944
28,30,30,0.008009447186621246,15.213274617064487,1899.4163095895447,-29.028460538438463,18,0.014079921107613531,12,18,0.014666772286003434,0.17017085479653987,0.5177183105641826,0.8384566960102257
29,30,30,0.008007083063588992,15.213255015217756,1899.9746717250569,-29.0375246099007,18,0.014076447547004314,12,18,0.014663398138191196,0.17001658706385445,0.5177323026306797,0.8384793515262577
30,30,30,0.00800469277932317,15.213235379702233,1900.539570862653,-29.046669456784194,18,0.014072930892921186,12,18,0.014659981900609385,0.16986161289738172,0.5177463456287809,0.8385020894738088
31,30,30,0.008002278725555964,15.213215720508849,1901.1104514423046,-29.05589207712925,18,0.014069375995498967,12,18,0.014656528404935448,0.16970573865188865,0.517760456896592,0.8385249379373579
32,30,30,0.007999842127223496,15.213196047493081,1901.687034013148,-29.06518868430192,18,0.014065784438173993,12,18,0.014653039179129714,0.1695490715084861,0.517774626515266,0.8385478808557011
33,30,30,0.007997383427188667,15.213176369724717,1902.2692244571585,-29.07455639297297,18,0.014062157754048689,12,18,0.014649515810234333,0.16939141809005392,0.5177888717429008,0.8385709461796627
34,30,30,0.007994912172520146,15.213156745552574,1902.8547677912893,-29.083958289005867,18,0.014058507923122557,12,18,0.014645969706472419,0.1692339296174225,0.5178030884602217,0.8385939653057977
