==============================================================================================================
Staggered vs Coupled ODE Solver — Fair Comparison (v2)
  Both solvers use Backward Euler for mechanical side.
  Only difference: coupled solves I,ω simultaneously; staggered solves I first (ω frozen), then ω.
==============================================================================================================

──────────────────────────────────────────────────────────────────────────────────────────────────────────────
SCENARIO: step  |  Step I_des=29A, τ_gravity=5N·m  |  t_end=10ms
──────────────────────────────────────────────────────────────────────────────────────────────────────────────
Fault               dt(ms)    max_I_C    max_I_S  ratio_I    max_ω_C    max_ω_S  ratio_ω
L_100x                 0.1     0.2361     0.2740     1.16   0.271622   0.236602     0.87
L_100x                 0.5     0.4901     0.4398     0.90   0.468961   0.088379     0.19
L_100x                 1.0     0.9578     0.8729     0.91   0.920218   0.176529     0.19
L_100x                 5.0     3.9702     4.1589     1.05   3.949382   0.899854     0.23
V_bus_12V              0.1    11.9551    11.9992     1.00   0.264036   0.223177     0.85
V_bus_12V              0.5    11.2380    11.5172     1.02   0.427355   0.263934     0.62
V_bus_12V              1.0    19.8178    20.0291     1.01   0.739300   0.460452     0.62
V_bus_12V              5.0    36.8724    42.5630     1.15   1.585188   1.766770     1.11
combined               0.1    15.8565    15.8802     1.00   0.201064   0.179570     0.89
combined               0.5    14.2192    14.4837     1.02   0.208804   0.237800     1.14
combined               1.0    20.4978    20.9164     1.02   0.336464   0.396162     1.18
combined               5.0    29.8164    31.3226     1.05   0.903499   1.418869     1.57

==============================================================================================================
